IP:Port,Loss,Latency
162.159.195.196:8319,0%,166.33
162.159.195.75:987,0%,166.33
188.114.98.72:890,0%,166.34
162.159.195.184:2371,0%,166.34
162.159.195.242:955,0%,166.35
162.159.192.156:928,0%,166.35
162.159.195.182:968,0%,166.36
162.159.192.196:854,0%,166.38
162.159.195.75:4177,0%,166.38
162.159.195.23:4233,0%,166.39
162.159.192.198:3854,0%,166.39
162.159.195.96:7281,0%,166.39
162.159.192.49:864,0%,166.40
162.159.195.171:945,0%,166.40
162.159.192.170:942,0%,166.41
162.159.195.113:894,0%,166.42
162.159.195.110:4500,0%,166.42
162.159.192.147:2408,0%,166.42
162.159.192.99:1843,0%,166.43
162.159.192.58:946,0%,166.44
162.159.192.169:880,0%,166.45
162.159.195.233:7103,0%,166.48
162.159.192.73:1018,0%,166.48
162.159.192.215:928,0%,166.48
162.159.195.126:946,0%,166.50
162.159.195.152:7281,0%,166.50
188.114.97.152:1014,0%,166.50
162.159.195.176:1180,0%,166.51
162.159.195.191:934,0%,166.51
162.159.195.226:854,0%,166.55
162.159.192.182:943,0%,166.55
162.159.192.77:878,0%,166.56
162.159.192.77:987,0%,166.57
162.159.195.145:880,0%,166.57
162.159.192.145:7152,0%,166.59
162.159.192.93:7156,0%,166.59
162.159.195.34:4177,0%,166.60
162.159.195.205:3138,0%,166.61
162.159.195.196:4177,0%,166.62
162.159.192.118:890,0%,166.62
162.159.192.144:4233,0%,166.65
162.159.195.85:1180,0%,166.69
162.159.192.57:3476,0%,166.71
162.159.192.250:908,0%,166.72
162.159.195.221:3476,0%,166.72
162.159.192.17:987,0%,166.72
162.159.195.10:934,0%,166.73
162.159.192.116:880,0%,166.76
188.114.97.134:8319,0%,166.76
162.159.195.38:2506,0%,166.76
162.159.192.106:928,0%,166.77
162.159.195.16:908,0%,166.77
162.159.195.208:7103,0%,166.78
162.159.195.26:903,0%,166.78
162.159.192.144:3854,0%,166.79
162.159.192.18:880,0%,166.79
162.159.192.78:4198,0%,166.81
162.159.192.115:1010,0%,166.82
162.159.195.126:968,0%,166.84
162.159.192.182:5956,0%,166.86
162.159.192.147:859,0%,166.87
162.159.195.88:1010,0%,166.87
188.114.99.55:7103,0%,166.91
162.159.195.43:3476,0%,166.91
162.159.195.84:1070,0%,166.91
162.159.192.95:943,0%,166.92
162.159.195.76:908,0%,166.92
162.159.192.218:5279,0%,166.93
162.159.195.119:1070,0%,166.93
162.159.192.45:891,0%,166.95
162.159.192.76:500,0%,166.95
188.114.96.137:908,0%,166.98
162.159.195.236:859,0%,166.98
162.159.192.193:928,0%,166.99
